Bus No,Material,Material Description,Model,Bus Format,Type,Replacement Date,Next Replacement Date,Final Replacement Date,Predicted Replacement Date,Interval Days,Failure Trend,Predicted Interval,Order Count,Total Withdrawn,Mileage Extracted,MaxMilage_AllYears,SumDistancePlanned_AllYears,SumDistanceActual_AllYears,Bus Age,Bus Age At Replacement,Status,Days Since Last Replacement,Time To Action,Odometer,Total Fault Count,Accident Count
SG6262J,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1684.0,0,1684.0,1,1,,,,,4.87,0.0,Overdue - Action Required,1778,3,391160.0,2.0,8.0
SG6273C,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-07-22 01:12:00.000000,1947.0,0,1947.0,1,1,,,,,4.84,0.0,Scheduled - Future,1767,179,388740.0,0.0,6.0
SG6282B,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1683.0,0,1683.0,1,1,,,,,4.79,0.0,Overdue - Action Required,1750,3,385000.0,1.0,6.0
SG6211G,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-12-19 01:12:00.000000,1947.0,0,1947.0,1,1,,,,,4.43,0.0,Scheduled - Future,1617,329,355740.0,0.0,7.0
SG6246G,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1465.0,0,1465.0,1,1,,,,,4.34,0.0,Overdue - Action Required,1586,3,348920.0,1.0,1.0
SG5755K,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1321.0,0,1321.0,1,1,,,,,9.63,0.0,Overdue - Action Required,3518,3,773960.0,2.0,4.0
SG5756H,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,1549.0,0,1549.0,1,1,,,,,9.63,0.0,Overdue - Action Required,3518,30,773960.0,0.0,2.0
SG5768Z,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1359.0,0,1359.0,1,1,,,,,9.57,0.0,Overdue - Action Required,3495,3,768900.0,3.0,9.0
SG5781J,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,1549.0,0,1549.0,1,1,,,,,9.43,0.0,Overdue - Action Required,3444,30,757680.0,0.0,2.0
SG5782G,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,964.0,0,964.0,1,1,,,,,9.43,0.0,Overdue - Action Required,3444,30,757680.0,0.0,1.0
SG5802H,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,1564.0,0,1564.0,1,1,,,,,8.88,0.0,Overdue - Action Required,3244,30,713680.0,0.0,4.0
SG5804C,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,2975.0,0,2975.0,1,1,,,,,8.65,0.0,Overdue - Action Required,3159,30,694980.0,0.0,3.0
SG5807U,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,2975.0,0,2975.0,1,1,,,,,8.64,0.0,Overdue - Action Required,3154,30,693880.0,0.0,2.0
SG5812D,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1191.0,0,1191.0,1,1,,,,,8.64,0.0,Overdue - Action Required,3154,3,693880.0,1.0,1.0
SG5808S,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2025-01-13,,,2031-11-26 01:27:50.400000,2508.0,0,2508.0,1,1,506740.0,,,,8.63,7.61,Scheduled - Future,375,2132,589240.0,1.0,2.0
SG5809P,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,3119.0,0,3119.0,1,1,,,,,8.63,0.0,Overdue - Action Required,3153,30,693660.0,0.0,5.0
SG5810J,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2575.0,0,2575.0,1,1,,,,,8.63,0.0,Overdue - Action Required,3153,3,693660.0,1.0,4.0
SG5811G,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,3052.0,0,3052.0,1,1,,,,,8.63,0.0,Overdue - Action Required,3153,30,693660.0,0.0,4.0
SG5814Z,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2494.0,0,2494.0,1,1,,,,,8.56,0.0,Overdue - Action Required,3125,3,687500.0,1.0,2.0
SG5815X,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,3103.0,0,3103.0,1,1,,,,,8.56,0.0,Overdue - Action Required,3125,30,687500.0,0.0,5.0
SG5816T,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,2959.0,0,2959.0,1,1,,,,,8.56,0.0,Overdue - Action Required,3125,30,687500.0,0.0,3.0
