Bus No,Material,Material Description,Model,Bus Format,Type,Replacement Date,Next Replacement Date,Final Replacement Date,Predicted Replacement Date,Interval Days,Failure Trend,Predicted Interval,Order Count,Total Withdrawn,Mileage Extracted,MaxMilage_AllYears,SumDistancePlanned_AllYears,SumDistanceActual_AllYears,Bus Age,Bus Age At Replacement,Status,Days Since Last Replacement,Time To Action,Odometer,Total Fault Count,Accident Count
SMB1407P,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,18/4/2024,00:00.0,18/4/2024,11/8/2029,2426,0,1620.597196,2,4,503161.5,829527779,103125450,47658128,11.43835616,7.060273973,Scheduled - Future,385,1234.5,849228,48,5
SMB1407P,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,12/6/2019,,12/6/2019,14/4/2027,,0,1768.458658,1,1,375773,829527779,103125450,47658128,11.43835616,5.528767123,Overdue - Action Required,2157,-390,849228,48,5
SMB1408L,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,27/4/2023,00:00.0,27/4/2023,9/3/2028,1870,0,1539.265175,2,4,716075,899277998,103341150,51316125,11.34246575,6.747945205,Scheduled - Future,742,796,918459,55,7
SMB1408L,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,1/8/2023,00:00.0,1/8/2023,13/6/2028,1966,0,1689.265175,2,4,742549,899277998,103341150,51316125,11.34246575,6.879452055,Scheduled - Future,646,1042,918459,55,7
SMB1409J,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,19/12/2022,00:00.0,19/12/2022,6/9/2030,1802,0,1511.193752,2,4,618867,800196244,75423040,30695873,11.34246575,6.487671233,Scheduled - Future,871,639,809778,97,3
SMB1409J,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,19/12/2022,00:00.0,19/12/2022,26/8/2030,1777,0,1655.596624,2,4,618867,800196244,75423040,30695873,11.34246575,6.521917808,Scheduled - Future,871,783.5,809778,97,3
SMB1410D,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,2/11/2022,00:00.0,2/11/2022,25/8/2030,1783,0,1528.874764,2,4,607263,758778511,60615450,41157611,11.34246575,6.384931507,Scheduled - Future,918,610,768062,58,5
SMB1410D,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,2/11/2022,00:00.0,2/11/2022,25/8/2030,1783,0,1678.874764,2,4,607263,758778511,60615450,41157611,11.34246575,6.384931507,Scheduled - Future,918,760,768062,58,5
SMB1411B,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,14/1/2022,00:00.0,14/1/2022,20/4/2026,1402,0,1428.911417,2,4,670729,851270945,64223900,21320952,11.34246575,6.106849315,Scheduled - Future,1210,218,863283,29,2
SMB1411B,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,21/1/2022,00:00.0,21/1/2022,9/6/2026,1409,0,1600,2,4,670729,851270945,64223900,21320952,11.34246575,6.116438356,Scheduled - Future,1203,396,863283,29,2
